Year,Année,ISO,Jurisdiction,Juridiction,Treatment,Traitement,Tenure (En),Tenure (Fr),Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1997,1997,YT,Yukon,Yukon,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1997,1997,YT,Yukon,Yukon,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1997,1997,YT,Yukon,Yukon,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1997,1997,YT,Yukon,Yukon,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1997,1997,YT,Yukon,Yukon,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1998,1998,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,AB,Alberta,Alberta,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,491,a,491,a
1998,1998,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,u,,u
1998,1998,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,39868,a,39868,a
1998,1998,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,,u,,u
1998,1998,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,3365,a,3365,a
1998,1998,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Private land,Terres privées,,u,,u
1998,1998,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,446,a,446,a
1998,1998,AB,Alberta,Alberta,Other*d,Autres*d,Private land,Terres privées,,u,,u
1998,1998,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Federal land,Terres fédérales,6,a,6,a
1998,1998,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,3385,r,3385,r
1998,1998,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,r,0,r
1998,1998,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,58983,r,58983,r
1998,1998,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,160,r,160,r
1998,1998,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,375,r,375,r
1998,1998,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Private land,Terres privées,0,r,0,r
1998,1998,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Provincial land,Terres provinciales,19235,r,19235,r
1998,1998,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Private land,Terres privées,39,r,39,r
1998,1998,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,MB,Manitoba,Manitoba,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,6821,a,6821,a
1998,1998,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1998,1998,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1998,1998,MB,Manitoba,Manitoba,Other*d,Autres*d,Provincial land,Terres provinciales,623,a,623,a
1998,1998,MB,Manitoba,Manitoba,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,8007,a,8007,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,7553,a,7553,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,755,a,755,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Private land,Terres privées,906,a,906,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Federal land,Terres fédérales,19,a,19,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,111,a,111,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,1442,a,1442,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,146,a,146,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Provincial land,Terres provinciales,941,a,941,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,,n,,n
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,n,,n
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,4,a,4,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,4340,a,4340,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Chemical treatment,Traitement chimique,Private land,Terres privées,608,a,608,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,251,a,251,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Chemical treatment,Traitement chimique,Private land,Terres privées,,u,,u
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Other*d,Autres*d,Private land,Terres privées,,u,,u
1998,1998,NU,Nunavut,Nunavut,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,NU,Nunavut,Nunavut,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,NU,Nunavut,Nunavut,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,NU,Nunavut,Nunavut,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,ON,Ontario,Ontario,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,ON,Ontario,Ontario,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,50,a,50,a
1998,1998,ON,Ontario,Ontario,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,25,a,25,a
1998,1998,ON,Ontario,Ontario,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,ON,Ontario,Ontario,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,514,a,514,a
1998,1998,ON,Ontario,Ontario,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,u,,u
1998,1998,ON,Ontario,Ontario,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,78846,a,78846,a
1998,1998,ON,Ontario,Ontario,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,,u,,u
1998,1998,ON,Ontario,Ontario,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,12131,a,12131,a
1998,1998,ON,Ontario,Ontario,Chemical treatment,Traitement chimique,Private land,Terres privées,,u,,u
1998,1998,ON,Ontario,Ontario,Other*d,Autres*d,Provincial land,Terres provinciales,90,a,90,a
1998,1998,ON,Ontario,Ontario,Other*d,Autres*d,Private land,Terres privées,,u,,u
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,78,a,78,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,781,a,781,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Chemical treatment,Traitement chimique,Private land,Terres privées,40,a,40,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Other*d,Autres*d,Private land,Terres privées,59,a,59,a
1998,1998,QC,Quebec,Québec,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,QC,Quebec,Québec,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,39,a,39,a
1998,1998,QC,Quebec,Québec,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,QC,Quebec,Québec,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,QC,Quebec,Québec,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,QC,Quebec,Québec,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,QC,Quebec,Québec,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,49748,a,49748,a
1998,1998,QC,Quebec,Québec,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,10602,a,10602,a
1998,1998,QC,Quebec,Québec,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,QC,Quebec,Québec,Chemical treatment,Traitement chimique,Private land,Terres privées,332,a,332,a
1998,1998,QC,Quebec,Québec,Other*d,Autres*d,Provincial land,Terres provinciales,6933,a,6933,a
1998,1998,QC,Quebec,Québec,Other*d,Autres*d,Private land,Terres privées,1299,a,1299,a
1998,1998,SK,Saskatchewan,Saskatchewan,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,50,a,50,a
1998,1998,SK,Saskatchewan,Saskatchewan,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,SK,Saskatchewan,Saskatchewan,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,8126,a,8126,a
1998,1998,SK,Saskatchewan,Saskatchewan,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,SK,Saskatchewan,Saskatchewan,Chemical treatment,Traitement chimique,Private land,Terres privées,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,SK,Saskatchewan,Saskatchewan,Other*d,Autres*d,Private land,Terres privées,,u,,u
1998,1998,YT,Yukon,Yukon,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1998,1998,YT,Yukon,Yukon,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1998,1998,YT,Yukon,Yukon,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1998,1998,YT,Yukon,Yukon,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1998,1998,YT,Yukon,Yukon,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1998,1998,YT,Yukon,Yukon,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1998,1998,YT,Yukon,Yukon,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,0,a,0,a
1998,1998,YT,Yukon,Yukon,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1998,1998,YT,Yukon,Yukon,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1998,1998,YT,Yukon,Yukon,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1998,1998,YT,Yukon,Yukon,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1998,1998,YT,Yukon,Yukon,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1999,1999,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,AB,Alberta,Alberta,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1999,1999,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,u,,u
1999,1999,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,36902,a,36902,a
1999,1999,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,,u,,u
1999,1999,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,9483,a,9483,a
1999,1999,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Private land,Terres privées,,u,,u
1999,1999,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,203,a,203,a
1999,1999,AB,Alberta,Alberta,Other*d,Autres*d,Private land,Terres privées,,u,,u
1999,1999,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,4365,r,4365,r
1999,1999,BC,British Columbia,Colombie-Britannique,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,r,0,r
1999,1999,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,52868,r,52868,r
1999,1999,BC,British Columbia,Colombie-Britannique,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,247,r,247,r
1999,1999,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,226,r,226,r
1999,1999,BC,British Columbia,Colombie-Britannique,Chemical treatment,Traitement chimique,Private land,Terres privées,0,r,0,r
1999,1999,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Provincial land,Terres provinciales,15864,r,15864,r
1999,1999,BC,British Columbia,Colombie-Britannique,Other*d,Autres*d,Private land,Terres privées,20,r,20,r
1999,1999,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,MB,Manitoba,Manitoba,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1999,1999,MB,Manitoba,Manitoba,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1999,1999,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,7663,a,7663,a
1999,1999,MB,Manitoba,Manitoba,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1999,1999,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1999,1999,MB,Manitoba,Manitoba,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1999,1999,MB,Manitoba,Manitoba,Other*d,Autres*d,Provincial land,Terres provinciales,460,a,460,a
1999,1999,MB,Manitoba,Manitoba,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,8063,a,8063,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,8436,e,8436,e
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,247,a,247,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Chemical treatment,Traitement chimique,Private land,Terres privées,1014,e,1014,e
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,14,a,14,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,0,a,0,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,1129,a,1129,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,0,a,0,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Chemical treatment,Traitement chimique,Private land,Terres privées,0,a,0,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Provincial land,Terres provinciales,138,a,138,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other*d,Autres*d,Private land,Terres privées,0,a,0,a
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Federal land,Terres fédérales,,u,,u
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Federal land,Terres fédérales,,u,,u
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Chemical treatment,Traitement chimique,Federal land,Terres fédérales,,u,,u
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Other*d,Autres*d,Federal land,Terres fédérales,,u,,u
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,,n,,n
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Prescribed burning*b,Brûlage dirigé*b,Private land,Terres privées,,n,,n
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,70,a,70,a
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Mechanical treatment*c,Traitement mécanique*c,Private land,Terres privées,6697,a,6697,a
